CUI1,CUI2,Prediction
Management Occupations,Mucinous neoplasm,0
Third,Undifferentiated Endocervical Sarcoma,1
Treating,Malignant melanoma of eyelid,0
Metastasis,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Vomiting,Choroid Necrotic Melanoma,1
1960s,Thymic Clear Cell Carcinoma,1
Metastatic malignant neoplasm to brain,Choroid Necrotic Melanoma,1
Overweight,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
gene therapy,Ichthyoses,0
Adult,Adult Hepatocellular Carcinoma,1
Singular,adenoid cystic carcinoma of lung,0
Conventional (Clear Cell) Renal Cell Carcinoma,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Operation excision,Malignant melanoma of eyelid,0
To,Thymic Clear Cell Carcinoma,0
Rare,Extra-Adrenal Paraganglioma,1
Early stage,Primary Cutaneous Plasmablastic Lymphoma,0
True,Female Breast Carcinoma,0
Process,Stage IB Lung Cancer AJCC v7,0
Togo,Adult Alveolar Soft Part Sarcoma,0
Cells,Stage IB Pancreatic Cancer AJCC v8,0
Often - answer to question,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Aspects of signs,Stage IB Pancreatic Cancer AJCC v8,0
Chief complaint (finding),Tonsillar Carcinoma,1
Cells,Malignant melanoma of eyelid,1
World,Undifferentiated Endocervical Sarcoma,0
<3 (qualifier value),BRCA2 Syndrome,0
Aggressive behavior,Breast Ductal Adenoma,1
Usual Severity Itching,Methotrexate-Associated Hodgkin Lymphoma,1
Halitosis,Refractory Barrett Esophagus,1
Completely - dosing instruction fragment,Clonal Hematopoiesis of Indeterminate Potential,0
Form:Finding:Point in time:{Setting}:Document:{Role},Breast Ductal Adenoma,0
Mucoepidermoid Carcinoma,adenoid cystic carcinoma of lung,0
National Cancer Institute,Ampulla of Vater Tubular Adenoma,0
PSA Level Greater than Fifty,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Stomach structure,Mucinous adenocarcinoma gastric,0
During,Mucinous adenocarcinoma gastric,0
Application Context,Ichthyosis,0
combination of objects,Bladder squamous cell carcinoma stage I,0
40%,Endometrial Small Cell Carcinoma,1
Hip structure,Cartilaginous exostosis,0
Lymphadenopathy,Malignant Neoplasm with Regional Lymph Node Involvement,1
Term Source,mucinous adenocarcinoma of gallbladder,0
Immune system,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Cell Count,Hemangioma,1
Poverty,Mucinous adenocarcinoma gastric,0
Endoscopy of stomach,Refractory Barrett Esophagus,0
Choriocarcinoma,Metastatic Ductal Breast Carcinoma,1
Sternum,Thymic Clear Cell Carcinoma,0
Include (action),Benign Apocrine Neoplasm,0
Development,Acute Undifferentiated Leukemia,1
combination of objects,Uterine Cancer,0
Alcohols,Adult Hepatocellular Carcinoma,0
SPINK5 gene,Intestinal Neuroendocrine Carcinoma,0
Body Fluids,Anterior Urethral Malignant Neoplasm,0
Enlargement procedure,Hodgkin lymphoma,0
Cystadenocarcinoma,Serous cystadenocarcinoma ovary,0
Taste Perception,Refractory Barrett Esophagus,1
Reported Term,Ampulla of Vater Tubular Adenoma,1
various antiinfectives and antiseptics for local oral treatment,Recurrent Testicular Lymphoma,0
Cancer Genus,Acantholytic squamous cell carcinoma,1
Bladder Cancer Pathway,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Persons,Extra-Adrenal Paraganglioma,0
International Classification of Disease for Oncology,Secondary malignant neoplasm of lymph node,0
Laboratory Procedures,FIGO Stage II Ovarian Cancer,0
Usual,Carcinoma of urinary bladder,0
Autosome,Ichthyoses,0
Most,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
contextual factors,Benign Carotid Body Paraganglioma,1
Including (qualifier),Refractory Barrett Esophagus,1
Tumor Mass,Rhabdomyosarcoma with ganglionic differentiation,1
morphological,Noninfiltrating Intraductal Carcinoma,0
Tests (qualifier value),Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Tests (qualifier value),Benign Carotid Body Paraganglioma,0
treatment - ActInformationManagementReason,Maxillary Sinus Adenocarcinoma,0
Neoplasms,Unresectable Rhabdomyosarcoma,0
Cause of death:Find:Pt:^Patient:Nom,Undifferentiated Endocervical Sarcoma,0
True primary (qualifier value),Grade 1 Clear Cell Renal Cell Carcinoma,0
Vague,Cancer of Urinary Tract,0
Near,Malignant melanoma of eyelid,0
high - ActExposureLevelCode,Tonsillar Carcinoma,0
LMOD1 gene,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
Feel Tired question,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Skin Pigmentation,Acute Undifferentiated Leukemia,1
Death (finding),Stage II Carcinoma of Penis,1
CDISC SEND Tumor Findings Results Terminology,Serous cystadenocarcinoma ovary,0
Chemotherapy,Malignant melanoma of eyelid,0
>40 years,Diffuse malignant mesothelioma,0
Tissue Specimen Code,Uterine Cancer,0
Number of birth,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Two,Endometrial Small Cell Carcinoma,0
Blood,Clonal Hematopoiesis of Indeterminate Potential,0
Call (Instruction),Larynx carcinoma recurrent,0
Include (action),Rhabdomyosarcoma with ganglionic differentiation,0
Cultured Cell Line,Childhood Thyroid Gland Follicular Carcinoma,0
Hematogenous spread,Testicular cancer metastatic,1
Chest wall pain,Diffuse malignant mesothelioma,0
treatment - ActInformationManagementReason,Acantholytic squamous cell carcinoma,1
Canada,Intestinal Metaplasia of Bladder Urothelium,0
Admission Level of Care Code - Improved,Recurrent Testicular Lymphoma,0
Treating,Cancer of Urinary Tract,0
Application Context,Benign Carotid Body Paraganglioma,0
Suspected diagnosis,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Extrinsic,Adult Alveolar Soft Part Sarcoma,1
put - instruction imperative,Testicular cancer metastatic,0
Physical findings,Anterior Urethral Malignant Neoplasm,0
Term (lexical),Metastatic Neoplasm to the Gallbladder,0
Base - General Qualifier,Malignant Testicular Sertoli Cell Tumor,1
Epithelial cell count (procedure),Thymic Clear Cell Carcinoma,0
Percent of Abnormal Cells,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
associated disease,Hemangioma,1
Did not receive therapy or drug for,Primary Cutaneous Plasmablastic Lymphoma,0
Oral cavity,Refractory Barrett Esophagus,0
History of previous events,Recurrent Uveal Melanoma,1
Malignant - descriptor,Heavy Chain Deposition Disease,1
Occur (action),Acantholytic squamous cell carcinoma,0
Nictitating Membrane,Blepharal carcinoma,0
Histologic,Breast Ductal Adenoma,1
Cancer Registry,Rhabdomyosarcoma with ganglionic differentiation,0
Bacteria,Digestive System Hodgkin Lymphoma,0
Three,Refractory Barrett Esophagus,1
Anterior chest wall structure,Thymic Clear Cell Carcinoma,0
Group A (qualifier value),Metastatic Ductal Breast Carcinoma,1
Increasing,Endometrial Small Cell Carcinoma,1
Disseminated Malignant Neoplasm,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Plumbum metallicum,FIGO Stage II Ovarian Cancer,0
Skin,Angiosarcoma of liver,0
Complete Agreement,Colorectal High Grade B-Cell Lymphoma,0
Immune system,Thymic Clear Cell Carcinoma,0
Mechanism (attribute),Acute Undifferentiated Leukemia,1
depend,Recurrent Uveal Melanoma,0
Make - Instruction Imperative,Undifferentiated Endocervical Sarcoma,1
General surgery specialty,FIGO Stage II Ovarian Cancer,0
Infrequent,Refractory Barrett Esophagus,1
protein complex location,BRCA2 Syndrome,0
Forecast of outcome,Adult Hepatocellular Carcinoma,0
Only - dosing instruction fragment,Human Papillomavirus-Related Carcinoma,0
various antiseptic throat preparations,Neonatal leukemia,0
Attenuated by (contextual qualifier),Familial Adenomatous Polyposis Associated Medulloblastoma,1
Sweat,Malignant Neoplasm with Regional Lymph Node Involvement,0
Involvement with,Malignant Testicular Sertoli Cell Tumor,1
artesunate,Giant cell angiofibroma,0
Autoimmune Diseases,Thymic Clear Cell Carcinoma,0
Empty (qualifier),BRCA2 Syndrome,0
control aspects,Pancreatic Intraepithelial Neoplasia-3,0
Etiology,Liver Cavernous Hemangioma,1
PSA Level Less than Two,Localized Askin Tumor,0
Site of,Serous cystadenocarcinoma ovary,1
Logical Condition,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
seen,Cartilaginous exostosis,0
Pharmacologic Substance,de novo Myelodysplastic Syndrome,0
Overall,Undifferentiated Endocervical Sarcoma,0
Imaging Techniques,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Malignant neoplasm of urinary bladder,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Include (action),Diffuse malignant mesothelioma,0
Egg of order Phthiraptera,Extracranial Neuroblastoma,0
Egg of order Phthiraptera,Intracortical osteosarcoma,1
Common Specifications in HL7 V3 Publishing,Adult Hepatocellular Carcinoma,0
Reported Term,Cartilaginous exostosis,0
therapeutic aspects,Recurrent Uveal Melanoma,0
Persons,Recurrent Uveal Melanoma,0
Cancer Genus,Localized Askin Tumor,1
Telencephalon,gliosarcoma,0
newly,Mucinous adenocarcinoma gastric,1
Two,Cancer of Urinary Tract,0
CDISC SEND Tumor Findings Results Terminology,Mucinous neoplasm,0
Group Object,Heavy Chain Deposition Disease,0
Inguinal region,Hodgkin lymphoma,0
Feelings,Hodgkin lymphoma,0
Fever,Malignant Neoplasm with Regional Lymph Node Involvement,0
Tree Node,Tonsillar Carcinoma,0
polyps,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Analysis of substances,Colorectal High Grade B-Cell Lymphoma,0
Exposure to radiation,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
cervical cancer,Human Papillomavirus-Related Carcinoma,1
Biological Response Modifiers,Carcinoma of urinary bladder,0
Characteristics,Adenocarcinoma of the prostate metastatic,0
Primary malignant neoplasm of lung,Stage IB Lung Cancer AJCC v7,0
Cure (remedy),Lung squamous cell carcinoma stage I,1
Juice,Spongiotic dermatitis,0
Therapy Object (animal model),Breast Ductal Adenoma,0
Duct system,Collecting Duct Carcinoma of the Kidney,0
Smear test,Recurrent Uveal Melanoma,0
60%,Mucinous adenocarcinoma gastric,0
Li-Fraumeni Syndrome,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Pancreas,Intestinal Neuroendocrine Carcinoma,0
Case unit dose,Uterine Cancer,0
Males,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Poor oral hygiene,Tonsillar Carcinoma,0
Adult Burkitt Lymphoma,Unfavorable Non-Hodgkin Lymphoma,0
Arising,Bladder squamous cell carcinoma stage I,1
Increased,Angiosarcoma of liver,1
CEL gene,Female Breast Carcinoma,0
Occur (action),Uterine Cancer,0
melanoma,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Atla (fungus),Advanced Uterine Corpus Carcinosarcoma,1
30%,Recurrent Diffuse Intrinsic Pontine Glioma,1
Uterine Corpus Sarcoma,Undifferentiated Endocervical Sarcoma,0
antibiotics,Cancer of Urinary Tract,0
Options,Mucinous neoplasm,0
Type - attribute,Endometrial Small Cell Carcinoma,1
Icterus,Stage IB Pancreatic Cancer AJCC v8,0
>90,Primary Cutaneous Plasmablastic Lymphoma,0
CLEC4D gene,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Yellow color,Extracranial Neuroblastoma,0
Abnormal,Heavy Chain Deposition Disease,1
Aspects of signs,Recurrent Uveal Melanoma,0
Tissue Growth,Stage IB Lung Cancer AJCC v7,1
Pediculus humanus capitis (eukaryote),Contact dermatitis due to alkali,0
survival aspects,Recurrent Uveal Melanoma,0
Recommendation,Benign neoplasm of thorax,0
Neoplasm Metastasis,Stage IB Lung Cancer AJCC v7,0
include - SetOperator,Colorectal High Grade B-Cell Lymphoma,0
Divide,Primary Cutaneous Plasmablastic Lymphoma,0
Orbital region,Recurrent Uveal Melanoma,0
Major,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
Patient Problem,Airway Hemangioma,0
therapeutic aspects,Malignant Testicular Sertoli Cell Tumor,0
Benign,Benign Carotid Body Paraganglioma,0
Skin Specimen,squamous cell carcinoma of the thyroid gland,0
Blood Platelets,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Treatment Epoch,Ichthyosis,0
Increased erythropoietin,Metastatic Neoplasm to the Gallbladder,1
Indolent Non-Hodgkin Lymphoma,Primary Cutaneous Plasmablastic Lymphoma,1
Squamous cell carcinoma - category,Carcinoma of urinary bladder,0
include - SetOperator,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Primary malignant neoplasm,Recurrent Testicular Lymphoma,1
Togo,Human Papillomavirus-Related Carcinoma,0
Both ovaries,Undifferentiated Endocervical Sarcoma,0
One,Pancreatic Intraepithelial Neoplasia-3,0
Usual,Mucinous adenocarcinoma gastric,0
Urine looks dark,Stage IB Pancreatic Cancer AJCC v8,0
Specimen Source Codes - Macrophages,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Genes,Undifferentiated Endocervical Sarcoma,0
Neurofibromatosis 1,Acute Undifferentiated Leukemia,1
cell growth,Undifferentiated Endocervical Sarcoma,1
Secondary Neoplasm,adenoid cystic carcinoma of lung,0
Occur (action),Undifferentiated Endocervical Sarcoma,1
Stomach Diseases,Refractory Barrett Esophagus,0
IPSS Risk Category High,Diffuse malignant mesothelioma,1
Social group,Heavy Chain Deposition Disease,0
Areas <moth>,Acantholytic squamous cell carcinoma,1
Togo,Undifferentiated Endocervical Sarcoma,0
Pharmacotherapy,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
peripheral blood,Hemangioma,0
Hair follicle structure,Benign Apocrine Neoplasm,0
Dietary Lead,Recurrent Testicular Lymphoma,0
Weight Loss,Malignant Neoplasm with Regional Lymph Node Involvement,0
Chemotherapy,Primary Cutaneous Plasmablastic Lymphoma,0
Act Reason - Error,BRCA2 Syndrome,0
New,Adult Fibrolamellar Carcinoma,1
Body Fluid Discharge,Stage II Carcinoma of Penis,1
Increase,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Mature,Neonatal leukemia,0
Personal appearance,Colorectal Neuroendocrine Tumor G2,1
Abdominal hysterectomy,Undifferentiated Endocervical Sarcoma,0
per year,Human Papillomavirus-Related Carcinoma,1
Human Cells,Stage IB Lung Cancer AJCC v7,0
Family (taxonomic),Uterine Cancer,0
Qualitative form,squamous cell carcinoma of the thyroid gland,0
Tryptophanase,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Serous,Atypical Mesothelial Hyperplasia,0
Therapeutic procedure,Female Breast Carcinoma,0
95,FIGO Stage II Ovarian Cancer,0
Digital Content Category,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Reported Term,Atypical Lobular Breast Hyperplasia,0
Including (qualifier),Tonsillar Carcinoma,1
Reported,Tonsillar Carcinoma,1
Body Fluids,Diffuse malignant mesothelioma,0
Levator palpebrae superioris structure,Blepharal carcinoma,0
Allergens,Contact dermatitis due to alkali,0
Tract,Colorectal cancer,0
Smear - instruction imperative,Localized Askin Tumor,0
various other nasal preparations in ATC,Placental aromatase deficiency,0
Always (frequency),Breast Ductal Adenoma,1
Hematologic Tests,Acute Undifferentiated Leukemia,0
Bone structure of cranium,Cartilaginous exostosis,0
Malignant neoplasm of kidney,Sarcomatoid Renal Cell Carcinoma,1
Carcinoid Tumor,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Geographic Locations,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Basis - conceptual entity,Malignant Testicular Sertoli Cell Tumor,1
Abdomen,Benign neoplasm of thorax,0
unknown vaccine or immune globulin,Adult Alveolar Soft Part Sarcoma,0
Increased risk,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Tissue Specimen Code,Stage IB Lung Cancer AJCC v7,0
Childbirth,Adult Hepatocellular Carcinoma,1
Nuclear hyperchromasia,Angiosarcoma of liver,1
Malignant neoplasm of submandibular gland,adenoid cystic carcinoma of lung,0
Extraction,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Polycythemia,Leiomyoma of Gallbladder,1
Primary malignant neoplasm,Advanced Uterine Corpus Carcinosarcoma,1
Characterization,adenosquamous carcinoma of breast,1
How Much Distress Itching,Malignant Neoplasm with Regional Lymph Node Involvement,0
Medical Drop,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Autosomal recessive inheritance,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Back,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Fill,mucinous adenocarcinoma of gallbladder,0
Malignant tumor of colon,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Virus,Tonsillar Carcinoma,0
Occurrence Indicator,Pancreatic Intraepithelial Neoplasia-3,0
Taxonomic,Leptomeningeal sarcoma,0
Delta (difference),papillary carcinoma of penis,0
Fever symptoms (finding),Childhood Lymphoma,0
Occurrence,Contact dermatitis due to alkali,0
Precursor Cell Lymphoblastic Leukemia Lymphoma,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Lower - spatial qualifier,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Disease,Stage IB Pancreatic Cancer AJCC v8,0
Tobacco smoking behavior,Pancreatic Intraepithelial Neoplasia-3,0
Significant,Acute Undifferentiated Leukemia,1
What subject filter - Result,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Diagnosis Study,Refractory Barrett Esophagus,1
bacteria aspects,Digestive System Hodgkin Lymphoma,0
Molecular Mass,benign mature teratoma of pancreas,1
Specimen Type - Genital,Human Papillomavirus-Related Carcinoma,0
Five-year Survival Rate,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Malignant Neoplasms,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Changing,Choroid Necrotic Melanoma,1
NCI CTEP SDC Melanoma Sub-Category Terminology,Malignant melanoma of eyelid,0
Back,Airway Hemangioma,0
Abnormal,Undifferentiated Endocervical Sarcoma,1
Including (qualifier),Human Papillomavirus-Related Carcinoma,1
Togo,Blepharal carcinoma,0
Known,Acute lymphadenitis,1
Hematological Disease,Heavy Chain Deposition Disease,0
How Often Weight Loss,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Hodgkin Disease,Stage I Adult Non-Hodgkin Lymphoma,1
Endometrium,Endometrial Small Cell Carcinoma,0
Persons,Localized Askin Tumor,0
gene therapy,Stage IB Pancreatic Cancer AJCC v8,0
Due to,benign mature teratoma of pancreas,0
Togo,Recurrent Testicular Lymphoma,0
Division (action),Recurrent Testicular Lymphoma,0
Talpidae,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Symptoms,Refractory Barrett Esophagus,1
common procedures,Human Papillomavirus-Related Carcinoma,0
Coding,Rhabdomyosarcoma with ganglionic differentiation,0
70%,Pancreatic Intraepithelial Neoplasia-3,0
Malignant - descriptor,Benign neoplasm of thorax,0
Cyst,Pilocytic astrocytoma of cerebellum,1
Case unit dose,Undifferentiated Endocervical Sarcoma,0
Neoadjuvant Therapy Clinical Trial Setting,Lung squamous cell carcinoma stage I,0
VARIOUS DRUG CLASSES IN ATC,Recurrent Testicular Lymphoma,0
Blood Cells,Acute Undifferentiated Leukemia,1
Ultrasonography,Malignant Testicular Sertoli Cell Tumor,0
